replicate	generation	Ktl	Kce	Kbr	Htl	Hce	Hbr	Dtl	Dce	Dbr
0	316	92	98	92	-0	0.116115	-0	0	0.015625	0
0	317	92	92	92	-0	-0	-0	0	0	0
0	318	92	92	92	-0	-0	-0	0	0	0
0	319	92	92	92	-0	-0	-0	0	0	0
0	320	92	92	92	-0	-0	-0	0	0	0
0	321	92	92	92	-0	-0	-0	0	0	0
0	322	92	92	92	-0	-0	-0	0	0	0
0	323	92	92	92	-0	-0	-0	0	0	0
0	324	92	92	92	-0	-0	-0	0	0	0
0	325	92	92	92	-0	-0	-0	0	0	0
0	326	92	92	92	-0	-0	-0	0	0	0
0	327	92	92	92	-0	-0	-0	0	0	0
0	328	92	97	92	-0	0.116115	-0	0	0.015625	0
0	329	92	97	92	-0	0.116115	-0	0	0.015625	0
0	330	92	97	92	-0	0.116115	-0	0	0.015625	0
0	331	92	97	92	-0	0.116115	-0	0	0.015625	0
0	332	92	97	92	-0	0.200622	-0	0	0.03125	0
0	333	92	97	92	-0	0.200622	-0	0	0.03125	0
0	334	92	97	92	-0	0.272971	-0	0	0.046875	0
0	335	92	99	92	-0	0.272971	-0	0	0.046875	0
0	336	92	99	92	-0	0.272971	-0	0	0.046875	0
0	337	92	99	92	-0	0.395538	-0	0	0.078125	0
0	338	92	99	92	-0	0.272971	-0	0	0.046875	0
0	339	92	98	92	-0	0.200622	-0	0	0.03125	0
0	340	92	97	92	-0	0.33729	-0	0	0.0625	0
0	341	92	97	92	-0	0.272971	-0	0	0.046875	0
0	342	92	97	92	-0	0.272971	-0	0	0.046875	0
0	343	92	97	92	-0	0.272971	-0	0	0.046875	0
0	344	92	97	92	-0	0.272971	-0	0	0.046875	0
0	345	92	97	92	-0	0.116115	-0	0	0.015625	0
0	346	92	97	92	-0	0.200622	-0	0	0.03125	0
0	347	92	96	92	-0	0.116115	-0	0	0.015625	0
0	348	92	97	92	-0	0.200622	-0	0	0.03125	0
0	349	92	98	92	-0	0.272971	-0	0	0.046875	0
0	350	92	97	92	-0	0.200622	-0	0	0.03125	0
0	351	92	97	92	-0	0.200622	-0	0	0.03125	0
0	352	92	92	92	-0	-0	-0	0	0	0
0	353	92	92	92	-0	-0	-0	0	0	0
0	354	92	92	92	-0	-0	-0	0	0	0
0	355	92	92	92	-0	-0	-0	0	0	0
0	356	92	92	92	-0	-0	-0	0	0	0
0	357	92	92	92	-0	-0	-0	0	0	0
0	358	92	92	92	-0	-0	-0	0	0	0
0	359	92	92	92	-0	-0	-0	0	0	0
0	360	92	92	92	-0	-0	-0	0	0	0
0	361	92	92	92	-0	-0	-0	0	0	0
0	362	92	92	92	-0	-0	-0	0	0	0
0	363	92	92	92	-0	-0	-0	0	0	0
0	364	92	92	92	-0	-0	-0	0	0	0
0	365	92	97	92	-0	0.116115	-0	0	0.015625	0
0	366	92	97	92	-0	0.272971	-0	0	0.046875	0
0	367	92	99	92	-0	0.272971	-0	0	0.046875	0
0	368	92	98	92	-0	0.200622	-0	0	0.03125	0
0	369	92	92	92	-0	-0	-0	0	0	0
0	370	92	92	92	-0	-0	-0	0	0	0
0	371	92	92	92	-0	-0	-0	0	0	0
